unique_id,cutoff,metric,Naive,SeasonalNaive,Drift,AutoETS,AutoARIMA,LGBMRegressor,AutoNBEATS,AutoNHITS,Chronos,best_model
hotel_112,2023-03-10,mae,0.09174107142857144,0.09977678571428573,0.09466708594523261,0.09918374217916882,0.09830190562480737,0.06920431824412239,0.10183443299361639,6468399040667.389,0.09756527628217425,LGBMRegressor
hotel_126,2023-03-10,mae,0.00739897552646556,0.010813887307911203,0.007473898533217833,0.060393995589153815,0.03335351491745776,0.02150276947092666,0.03369693242662253,290160723.24884254,0.023400013029202187,Naive
hotel_133,2023-03-10,mae,0.0930913348946136,0.0989461358313817,0.08786663493625976,0.12586338862725927,0.1981834898335328,0.030347072346504977,0.29500939007804877,4884.851114603148,0.12468885792641785,LGBMRegressor
hotel_14,2023-03-10,mae,0.16071428571428575,0.07850404312668466,0.1708236586717131,0.08933681100991557,0.07100464477155626,0.04726872104683497,0.10070723488003096,inf,0.08319261156002467,LGBMRegressor
hotel_21,2023-03-10,mae,0.01273148148148147,0.025958994708994685,0.012713916077080032,0.019142571303312293,0.025941364401678577,0.01469254678969383,0.01696444748255312,inf,0.01200211576368442,Chronos
hotel_28,2023-03-10,mae,0.0008928571428571429,0.0008928571428571429,0.028519877928076538,0.010893147169683278,0.0015392977677216614,0.010471129894600553,0.0043928687053266914,inf,0.006143825181892939,Naive
hotel_35,2023-03-10,mae,0.16287667410714285,0.12897600446428573,0.15821488499051467,0.14217003437601106,0.180194214308346,0.04064472358229264,0.1443215502159936,inf,0.15469639216150557,LGBMRegressor
hotel_42,2023-03-10,mae,0.32764603817235394,0.25824175824175827,0.3325548281789925,0.23565047685177154,0.23711531418386395,0.029661001666902227,0.280168842720358,inf,0.22717020380110875,LGBMRegressor
hotel_49,2023-03-10,mae,0.03976918278228319,0.0235495945102932,0.04678835439901222,0.08243408875834245,0.022555859970700143,0.024787262124790366,0.04465388803651612,inf,0.017180317818783854,Chronos
hotel_56,2023-03-10,mae,0.01011904761904762,0.011309523809523806,0.01011904761904762,0.03655434017354697,0.04720979775773203,0.01975112396152784,0.020809133705638704,inf,0.016765797847793217,Naive
hotel_63,2023-03-10,mae,0.18444444444444444,0.2146031746031746,0.19646028080208217,0.12816140892217248,0.15600583798384163,0.06075270666504189,0.21683290947051276,418.4337327986341,0.1226836997081363,LGBMRegressor
hotel_7,2023-03-10,mae,0.23441135411819447,0.16751977664029782,0.2425377505193349,0.16789864948941674,0.14236053957493708,0.026390957631897978,0.18351855661534552,inf,0.1344694699996735,LGBMRegressor
hotel_70,2023-03-10,mae,0.0487155388471178,0.05372807017543859,0.05432786643282572,0.10460240406899016,0.07274919736213335,0.028567169788044695,0.06783524225641015,inf,0.04150803478663428,LGBMRegressor
hotel_84,2023-03-10,mae,0.21972318339100347,0.14607019278299554,0.23121059318986395,0.12155423335398301,0.12722022512341033,0.041663310031463736,0.16148164073577093,inf,0.12235725328171541,LGBMRegressor
hotel_91,2023-03-10,mae,0.17656500802568217,0.2086677367576244,0.17160131821366478,0.1881581232620006,0.1777059396514514,0.05653645823858233,0.1867293326324674,inf,0.14379483901478504,LGBMRegressor
hotel_98,2023-03-10,mae,0.2047811059907834,0.07690092165898618,0.20126901054692903,0.12919094907180598,0.06893302855559762,0.025313729050180447,0.15277268002796832,inf,0.06936702884149991,LGBMRegressor
hotel_0,2023-04-07,mae,0.3262786596119929,0.34567901234567894,0.32591903958498314,0.2740498616830464,0.3048355507926977,0.05875866077297196,0.24933251139348148,5375349165824459.0,0.2774513597736493,LGBMRegressor
hotel_105,2023-04-07,mae,0.1684636118598383,0.09299191374663074,0.1725330495641141,0.08183636647499291,0.08488677960665299,0.04769844924793125,0.08255484467246785,inf,0.08552817490222962,LGBMRegressor
hotel_112,2023-04-07,mae,0.1625,0.10669642857142858,0.1644270994731949,0.10673759966007301,0.07398805054063685,0.09105624859102589,0.07501368863242013,1.8350664565905398e+25,0.08996950984001159,AutoARIMA
hotel_126,2023-04-07,mae,0.02831531018782014,0.030876494023904376,0.028270864481337126,0.03699994694247932,0.03918790298945448,0.0462857311897469,0.03635541972580728,inf,0.027550584630797913,Chronos
hotel_133,2023-04-07,mae,0.11943793911007027,0.11124121779859486,0.13078177467779545,0.0988210467105025,0.10305208415601119,0.04015028637664234,0.08616433269944067,25368386.488109827,0.08882007850835696,LGBMRegressor
hotel_14,2023-04-07,mae,0.09838274932614562,0.0707547169811321,0.0961726236764096,0.07964521606960139,0.07421688325476151,0.0700299030603738,0.06510452821730284,1.9094071048644787e+24,0.06608306148624166,AutoNBEATS
hotel_21,2023-04-07,mae,0.03736772486772488,0.03736772486772485,0.037733561730307945,0.03238741889822842,0.03032108466530584,0.026529077017996335,0.03577327349829296,inf,0.03354851310215299,LGBMRegressor
hotel_28,2023-04-07,mae,0.0,0.0,0.025949023861171365,0.00840336403256212,0.0003736871607092078,0.0029755681634088594,0.0001814280372920101,inf,0.008971064218452998,Naive
hotel_35,2023-04-07,mae,0.25634765625,0.23221261160714285,0.2500216375019368,0.22578054360823302,0.3716592676034572,0.03507763871934228,0.19058979621955327,inf,0.20559848419257573,LGBMRegressor
hotel_42,2023-04-07,mae,0.3042220936957779,0.2611336032388664,0.3042220936957779,0.27645182461581785,0.24021775591927327,0.02660023480293627,0.35260448402505934,736976250536.9856,0.17585522209618945,LGBMRegressor
hotel_49,2023-04-07,mae,0.10199625701809112,0.0988771054273238,0.09677692179657724,0.07283855695333137,0.10755109299746539,0.02830903562123404,0.10974822467145366,inf,0.10427671625364296,LGBMRegressor
hotel_56,2023-04-07,mae,0.04077380952380955,0.037202380952380966,0.04091067555004651,0.04523414939815844,0.05483930052420928,0.03543891297741715,0.037137294667107724,inf,0.03728666504224142,LGBMRegressor
hotel_63,2023-04-07,mae,0.20444444444444446,0.1473015873015873,0.20724718520813967,0.11096439795218897,0.16869033568075578,0.03615670611367593,0.14880730119016436,21316.49441326436,0.1354839772742892,LGBMRegressor
hotel_7,2023-04-07,mae,0.17089343880874824,0.16635644485807352,0.17034230722254917,0.1590274546300605,0.15981671539589803,0.024380902226051576,0.13825485251736452,inf,0.15320966959956525,LGBMRegressor
hotel_70,2023-04-07,mae,0.07017543859649122,0.11027568922305764,0.06973983222698829,0.08491888724319667,0.06583581785891608,0.026872657965795695,0.06547583254955167,inf,0.06751034769199246,LGBMRegressor
hotel_84,2023-04-07,mae,0.17090954028670294,0.17609985170538806,0.16870924712873542,0.16572494273544874,0.14023686356490342,0.049619000277594395,0.24054295856559035,inf,0.12271985088282156,LGBMRegressor
hotel_91,2023-04-07,mae,0.2772873194221509,0.20104333868378815,0.2974316076085556,0.25705641630184306,0.20299403127677615,0.06382235094003148,0.21759948301851081,inf,0.1924423814824458,LGBMRegressor
hotel_98,2023-04-07,mae,0.2566244239631336,0.12759216589861752,0.25289705309035654,0.1764640743559621,0.10237846977053401,0.017571300827964285,0.21212438854479024,inf,0.08742716474123814,LGBMRegressor
